"","X","Scientific_name","maximum_longevity_y","adult_body_mass_g","order","common_name","MLres"
"190",190,"Meriones_unguiculatus",6.3,53.2,"Rodentia","Mongolian jird",-0.187227037220545
"191",191,"Mesocricetus_auratus",3.9,105,"Rodentia","Golden hamster",-0.441271346274822
"192",192,"Microcebus_murinus",18.2,64.8,"Primates","Gray mouse lemur",0.260225883169862
"193",193,"Microgale_talazaci",5.8,50,"Afrosoricida","Talazac's shrew tenrec",-0.21896361082499
"194",194,"Microtus_agrestis",4.8,46,"Rodentia","Field vole",-0.295537439991756
"195",195,"Microtus_arvalis",4.8,27.5,"Rodentia","Common vole",-0.260906295230286
"196",196,"Microtus_fortis",2.166666667,63,"Rodentia","Reed Vole",-0.662157048478823
"197",197,"Microtus_ochrogaster",5.3,40,"Rodentia","Prairie vole",-0.24309457503048
"198",198,"Microtus_oeconomus",2.166666667,58,"Rodentia","Tundra vole",-0.656590562389729
"199",199,"Miniopterus_natalensis",22,11.185,"Chiroptera","Natal Long-fingered Bat",0.460833571912858
"200",200,"Miniopterus_schreibersii",22,13,"Chiroptera","Schreibers's long-fingered bat",0.450710857906424
"201",201,"Mirounga_angustirostris",20.29166667,1600000,"Carnivora","Northern elephant seal",-0.373377140086292
"202",202,"Mirounga_leonina",23,1400000,"Carnivora","Southern elephant seal",-0.30997820738856
"203",203,"Mirza_coquereli",17.4,311.2,"Primates","Giant mouse lemur",0.135075975564903
